"","gene_id","control1","control2","treat1","treat2"
"298","NM_000313",0,0,0,0
"299","NM_000314",0,0,0,0
"300","NM_000315",0,0,0,0
"301","NM_000316",0,0,0,0
"302","NM_000317",104,180,192,154
"303","NM_000318",0,0,0,0
"304","NM_000319",0,0,0,0
"305","NM_000320",5,2,1,3
"306","NM_000321",618,684,644,568
"307","NM_000322",76,54,55,49
"308","NM_000324",0,0,0,0
"309","NM_000325",2,2,2,2
"310","NM_000326",1,0,0,0
"311","NM_000327",48,50,34,21
"312","NM_000328",15,16,13,15
"313","NM_000329",0,0,1,0
"314","NM_000330",1,0,0,0
"315","NM_000331",0,0,0,0
"316","NM_000332",1,2,0,1
"317","NM_000333",7,2,3,2
"318","NM_000334",0,0,0,2
"319","NM_000335",0,0,0,0
"320","NM_000336",0,0,2,2
"321","NM_000337",0,0,0,0
"322","NM_000338",0,0,0,0
"323","NM_000339",0,0,0,0
"324","NM_000340",0,0,0,0
"325","NM_000341",94,82,115,114
"326","NM_000342",1,0,3,2
"327","NM_000343",0,0,0,0
"328","NM_000344",0,0,0,0
"329","NM_000345",0,0,1,2
"330","NM_000346",38,31,57,55
"331","NM_000347",0,0,1,1
"332","NM_000348",22,37,179,68
"333","NM_000349",9,7,6,4
"334","NM_000350",13,10,27,17
"335","NM_000351",329,380,409,469
"336","NM_000352",0,0,0,0
"337","NM_000353",0,0,0,2
"338","NM_000354",0,0,0,0
"339","NM_000355",0,0,1,2
"340","NM_000356",0,0,0,0
"341","NM_000358",13262,11363,15088,13062
"342","NM_000359",11,11,9,18
"343","NM_000360",0,0,0,0
"344","NM_000361",6,2,2,4
"345","NM_000362",9072,8986,25510,25354
"346","NM_000363",0,1,0,0
"347","NM_000364",0,0,0,0
"348","NM_000365",0,0,0,0
"349","NM_000366",21,18,10,13
"350","NM_000367",293,254,355,272
"351","NM_000368",0,0,0,0
"352","NM_000369",1,0,1,2
"353","NM_000370",0,0,1,1
"354","NM_000371",0,0,0,0
"355","NM_000372",0,0,0,0
"356","NM_000373",0,0,0,0
"357","NM_000374",0,0,0,0
"358","NM_000375",365,380,397,356
"359","NM_000376",0,0,0,0
"360","NM_000377",2,2,2,3
"361","NM_000378",0,0,0,0
"362","NM_000379",55,37,513,458
"363","NM_000380",0,0,0,0
"364","NM_000381",0,0,0,0
"365","NM_000382",0,0,0,0
"366","NM_000383",2,0,0,1
"367","NM_000384",8,12,6,6
"368","NM_000386",254,221,158,146
"369","NM_000387",122,130,218,195
"370","NM_000388",0,0,0,0
"371","NM_000389",0,0,0,0
"372","NM_000390",282,322,378,323
"373","NM_000391",572,564,535,558
"374","NM_000392",9,10,15,10
"375","NM_000393",15545,15844,16993,14417
"376","NM_000394",0,0,0,0
"377","NM_000395",0,0,0,3
"378","NM_000396",4554,4706,7766,6103
"379","NM_000397",0,0,1,0
"380","NM_000398",58,45,68,57
"381","NM_000399",0,0,0,0
"382","NM_000400",127,86,105,114
"383","NM_000401",2,2,4,5
"384","NM_000402",6,1,4,1
"385","NM_000403",4,3,11,7
"386","NM_000404",0,0,0,0
"387","NM_000405",39,44,78,92
"388","NM_000406",0,1,0,0
"389","NM_000407",0,0,0,0
"390","NM_000408",11,11,21,7
"391","NM_000409",10,18,20,13
"392","NM_000410",0,0,0,0
"393","NM_000411",1,2,1,1
"394","NM_000412",0,0,0,0
"395","NM_000413",92,84,93,74
"396","NM_000414",0,0,0,0
"397","NM_000415",0,0,0,0
"398","NM_000416",451,495,536,483
"399","NM_000417",0,0,0,0
"400","NM_000418",3,3,5,6
"401","NM_000419",4,0,1,2
"402","NM_000420",0,0,0,0
"403","NM_000421",68,81,95,93
"404","NM_000422",46,48,851,490
"405","NM_000423",0,0,0,0
"406","NM_000424",0,0,0,2
"407","NM_000425",0,0,0,0
"408","NM_000426",1,0,0,0
"409","NM_000427",0,0,0,0
"410","NM_000428",2351,1754,2129,2237
"411","NM_000429",0,0,3,0
"412","NM_000430",1273,1099,1276,1134
"413","NM_000431",0,0,0,0
"414","NM_000432",0,0,0,0
"415","NM_000433",0,0,0,0
"416","NM_000434",1,0,0,1
"417","NM_000435",172,105,211,223
