"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_019556",20.4073667849059,0.175396369052807,0.658478698119238,0.266366048824022,0.789957310075165,0.963397130924785
"NR_026836",78.3185225534154,0.091688994909608,0.344673811671349,0.266016714368293,0.790226336472457,0.963397130924785
"NM_032936",161.200941892372,0.0694399532316338,0.261098901018224,0.265952682913771,0.790275650528693,0.963397130924785
"NM_001144931",3.40327595387713,0.41466523746291,1.56087640886024,0.265661800709577,0.790499685080212,NA
"NM_015655",3.40327595387713,0.41466523746291,1.56087640886024,0.265661800709577,0.790499685080212,NA
"NR_033991",3.40327595387713,0.41466523746291,1.56087640886024,0.265661800709577,0.790499685080212,NA
"NR_037157",3.40327595387713,0.41466523746291,1.56087640886024,0.265661800709577,0.790499685080212,NA
"NM_001010971",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001031665",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001089584",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001130182",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001136561",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001139488",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001143807",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001145104",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001164442",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001171",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001174088",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001206683",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001207066",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001256666",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001256787",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001261830",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001270945",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001272105",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001282606",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001287590",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001304371",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001306083",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_001307951",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_002590",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_003637",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_006411",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_014902",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_018188",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_020871",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_022436",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_024643",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_144596",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_145693",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_173689",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_175619",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_177423",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_178011",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_181746",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_198460",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_024013",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_024464",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_026745",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_028302",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_029404",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_030327",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_034037",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_036160",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_039696",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_045207",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_073108",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_106899",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_110229",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_110907",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_120616",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NR_130951",0.710719293414176,-0.960266306817036,3.61751366526595,-0.265449254839633,0.790663396722265,NA
"NM_018046",467.743403631693,-0.0475701282839671,0.179430692772608,-0.265117007290679,0.790919326063024,0.963397130924785
"NM_152516",151.600263765401,0.0722071473566313,0.272361747050082,0.265114863370861,0.790920977591589,0.963397130924785
"NM_000537",3.51711683977821,0.413895288831914,1.56122834791451,0.265108745549487,0.790925690346111,NA
"NR_126041",3.51711683977821,0.413895288831914,1.56122834791451,0.265108745549487,0.790925690346111,NA
"NM_145267",43.1574712891981,-0.121344293401799,0.457865777084159,-0.26502154009972,0.790992868339085,0.963397130924785
"NM_001125",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001127232",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001127392",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001142643",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001164211",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001170798",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001197218",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001243299",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001256661",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001277059",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001281439",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001284265",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
"NM_001289398",0.707659024279384,0.960430970211572,3.62638580806936,0.26484522636131,0.791128694903475,NA
