,RefSeq_ID,ensembl_gene_id
402,NM_032587,ENSG00000132357
403,NR_073116,ENSG00000135919
404,NM_004237,ENSG00000071539
405,NM_031910,ENSG00000133466
406,NM_058195,ENSG00000147889
407,NM_002526,ENSG00000135318
408,NM_021013,ENSG00000131737
409,NM_005562,ENSG00000058085
410,NM_001039112,ENSG00000214814
411,NM_001855,ENSG00000204291
412,NM_021066,ENSG00000276368
413,NM_000867,ENSG00000135914
414,NM_021738,ENSG00000197321
415,NM_001311,ENSG00000213145
416,NM_000230,ENSG00000174697
417,NM_001220778,ENSG00000124762
418,NM_004655,ENSG00000168646
419,NR_024348,ENSG00000260852
420,NR_045725,ENSG00000246627
421,NM_015973,ENSG00000069482
422,NM_021822,ENSG00000239713
423,NM_003881,ENSG00000064205
424,NR_027341,ENSG00000225511
425,NM_018154,ENSG00000105011
426,NM_001024455,ENSG00000242732
427,NM_001278235,ENSG00000071282
428,NM_021020,ENSG00000061337
429,NM_001134848,ENSG00000198865
430,NM_003878,ENSG00000137563
431,NM_025004,ENSG00000149548
432,NR_120664,ENSG00000231185
433,NM_001175,ENSG00000111348
434,NM_001001548,ENSG00000135218
435,NM_001017420,ENSG00000171320
436,NM_003223,ENSG00000090447
437,NM_152426,ENSG00000243811
